pressure_time;pressure_radius;pressure_amplitude;young;density;strength;length;diameter;is_broken
2.650936;4.073817;59.603813;150.262289;1454.886646;5.724803;73.655127;0.120943;0
7.165887;2.202265;96.462771;120.051058;1202.037271;3.728200;46.659818;0.175966;1
8.816260;0.692101;94.227905;142.066887;1461.331171;3.905759;56.058373;0.101535;1
2.255238;0.353547;48.056145;171.705605;1417.338435;3.728227;88.582063;0.197313;0
3.189499;3.583814;53.070525;157.497976;1526.999300;3.422813;54.702419;0.192457;0
4.368259;1.268640;17.933314;146.212814;1256.124594;5.859889;47.044837;0.121122;0
8.564971;2.866385;127.244311;103.462722;1473.409218;3.313331;43.814714;0.130135;1
7.172201;2.009834;3.268147;133.824501;1594.530876;2.150434;97.528863;0.141416;0
4.866653;0.315873;199.934732;98.547374;1466.345671;2.267977;53.880312;0.130355;1
3.225806;3.658488;196.741513;160.487030;1569.464054;5.810567;86.273910;0.106593;1
7.284564;4.537905;29.965311;167.635042;1417.866697;4.915162;55.024985;0.140201;0
9.772362;4.663493;95.329966;85.839594;1380.695193;3.244778;65.728948;0.142473;1
4.395953;0.571241;66.053276;127.254418;1203.293269;5.476661;74.535532;0.192044;0
4.794844;0.660092;42.797827;96.707830;1249.016889;3.355104;97.217275;0.151324;0
1.574913;4.720091;45.239006;142.679401;1366.135798;5.901668;77.578422;0.137540;0
4.822552;3.071364;34.057751;168.028726;1575.485165;3.846051;64.148278;0.195718;0
3.694918;0.511710;77.901588;99.592682;1253.660362;3.763284;89.059538;0.185226;1
8.942994;2.652118;132.341406;95.159788;1583.912655;4.328023;56.745771;0.131729;1
2.694784;1.285744;87.056096;150.215043;1544.584245;3.498947;67.240954;0.158137;0
6.432883;4.277001;105.565429;146.289238;1241.329562;4.265315;61.479940;0.118790;1
1.422700;2.432529;80.751299;85.858217;1527.499547;2.015810;88.992354;0.185539;0
9.587392;4.873002;140.296518;157.827380;1427.713439;5.336015;52.613895;0.147125;1
8.200924;0.876937;191.142961;169.925923;1222.136245;4.971245;73.183696;0.142226;1
9.359868;3.343758;199.808611;127.669627;1200.943141;3.890153;77.036640;0.195309;1
4.095408;1.558500;162.817154;93.940681;1454.996755;2.460611;86.348626;0.181326;1
8.124443;1.386588;54.742025;83.587837;1351.045401;2.670022;56.275032;0.175448;1
7.903569;4.625319;46.959406;170.562548;1594.178768;5.821849;76.823707;0.170185;0
2.257048;2.777491;151.950166;103.270332;1209.261088;4.305955;81.369836;0.171830;1
2.090740;0.674947;36.818907;94.125076;1552.819723;5.474578;52.665747;0.159783;0
8.091976;1.095708;61.633541;81.572932;1270.429149;3.884210;73.928530;0.130201;1
7.264060;1.700993;136.066639;157.172601;1562.054770;3.828586;96.666398;0.166728;1
6.403630;0.419167;190.172382;87.412027;1375.278314;2.101221;44.274418;0.152013;1
9.071688;1.239582;123.234489;142.918107;1286.276666;3.269036;54.872419;0.136478;1
8.184391;2.357879;128.998350;127.105251;1240.391533;4.132485;45.900204;0.156355;1
1.630544;4.466751;176.386099;162.778433;1591.600067;4.704329;62.792424;0.120491;1
9.143027;1.841454;2.205989;89.101485;1403.852987;5.317931;95.660976;0.123228;0
9.958030;3.901102;80.408839;116.550423;1228.175414;3.170264;98.556020;0.111521;1
5.225100;2.643830;35.652291;129.589704;1512.206833;4.206851;86.669418;0.156692;0
9.559774;3.165775;142.157087;80.335653;1223.890716;2.404318;44.856089;0.119156;1
9.316263;1.742648;91.794668;159.822320;1329.218560;4.948638;65.505316;0.144285;1
6.018701;1.295136;77.891299;85.663884;1290.281400;3.146895;92.243065;0.154852;1
6.007609;4.852794;194.083251;173.257236;1218.448442;3.998863;95.091564;0.183044;1
6.769932;3.967290;151.212176;165.427045;1546.030716;4.906103;50.897193;0.166511;1
5.470042;4.428170;104.466541;117.275004;1242.458330;5.115378;56.694276;0.129766;1
6.419221;0.148521;45.632615;142.980821;1461.888829;4.479823;44.920457;0.115079;0
5.127777;4.331732;49.948632;136.400236;1317.110087;3.797023;46.227439;0.104193;0
5.419540;2.017281;90.666878;124.055675;1216.469679;3.063102;74.063110;0.121428;1
2.678870;0.850885;195.817490;119.225012;1592.982588;4.367627;90.279086;0.173851;1
1.850444;2.861777;175.072122;158.649390;1446.942664;2.387741;89.217548;0.173190;1
4.484877;2.448921;42.916118;105.953309;1297.943204;3.323213;73.099048;0.135412;1
9.423591;4.308990;113.648439;178.380772;1575.415012;2.911080;96.957502;0.164717;1
6.024558;2.940066;69.234915;147.689514;1241.336601;3.421927;69.443385;0.168192;1
5.987498;1.851810;56.075441;88.425709;1436.673878;4.093110;43.766350;0.102682;1
1.170072;3.213749;32.478071;110.391077;1466.937757;5.586542;72.374906;0.146300;0
2.639329;2.424234;34.673278;171.098084;1311.606088;2.672863;62.279448;0.187162;0
8.695822;3.897739;95.682310;179.918208;1466.392597;3.425458;66.169475;0.149424;1
4.242521;2.680275;4.636653;83.858152;1402.748295;3.434228;98.638440;0.112732;0
7.921990;3.821637;64.609036;116.435370;1477.473692;5.736650;84.164745;0.103354;1
7.435654;0.589820;82.901818;129.008888;1572.698199;4.883725;42.465500;0.159297;0
9.260790;4.698436;160.335809;113.879820;1400.842360;4.981444;82.141154;0.199812;1
3.419945;3.306831;9.561888;84.693836;1259.898922;2.664112;62.477685;0.188729;0
9.215965;1.156686;157.631945;176.786861;1496.488949;4.006344;49.834287;0.142664;1
5.247848;4.160860;9.622574;172.386886;1330.065568;3.985536;69.988679;0.180193;0
8.579163;4.780008;57.074141;123.675929;1395.034434;4.572785;90.528719;0.181565;1
6.004718;3.141607;6.956516;160.809245;1433.630210;4.621948;45.272148;0.141382;0
5.988300;3.486747;59.447209;104.412108;1336.059927;3.429686;69.754624;0.135427;1
